from,to,type,weight
21,1,P1,1
303,2,P3,1
125,3,P2,1
181,4,P1,2
18,5,P1,2
180,6,P2,3
303,7,P3,2
5,8,P2,1
18,9,P1,2
3,10,P2,3
18,11,P1,3
3,12,P2,1
3,13,P2,2
18,14,P1,3
6,15,P2,2
3,16,P2,3
6,17,P2,3
152,18,P1,3
154,19,P1,2
3,20,P2,1
1,21,P1,2
6,22,P2,1
1,23,P1,3
1,24,P1,1
6,25,P2,2
1,26,P1,2
6,27,P2,3
6,28,P2,1
1,29,P1,3
154,30,P1,3
1,31,P1,1
6,32,P2,2
6,33,P2,3
3,34,P2,2
215,35,P3,1
130,36,P1,2
1,37,P1,2
3,38,P2,3
154,39,P1,1
1,40,P1,3
35,41,P3,2
154,42,P1,2
154,43,P1,3
1,44,P1,1
41,45,P3,3
55,46,P2,2
41,48,P3,1
172,49,P3,1
41,51,P3,2
41,52,P3,3
49,53,P3,2
41,54,P3,1
46,55,P2,3
53,57,P3,3
53,58,P3,1
41,59,P3,2
3,60,P2,3
303,61,P3,1
41,63,P3,3
3,64,P2,1
303,65,P3,2
53,67,P3,2
46,68,P2,1
46,69,P2,2
41,70,P3,1
46,72,P2,3
5,73,P1,2
73,74,P1,3
154,76,P1,2
53,77,P3,3
46,80,P2,1
46,81,P2,2
205,82,P2,3
74,83,P1,1
46,85,P2,2
74,87,P1,2
53,88,P3,1
91,89,P3,3
74,90,P1,3
89,91,P3,1
53,92,P3,2
89,93,P3,2
89,95,P3,3
74,96,P1,1
74,97,P1,2
89,98,P3,1
89,99,P3,2
89,101,P3,3
82,102,P2,1
89,103,P3,1
89,104,P3,2
89,105,P3,3
53,106,P3,3
74,112,P1,1
53,114,P3,1
275,115,P1,2
74,118,P1,2
33,123,P2,3
149,125,P2,3
123,126,P2,1
115,130,P1,3
130,131,P1,1
126,133,P2,2
126,135,P2,3
126,136,P2,1
126,137,P2,2
126,145,P2,3
126,146,P2,1
126,147,P2,2
126,149,P2,3
245,151,P1,3
76,152,P1,2
4,154,P1,3
35,155,P3,1
167,156,P1,1
303,157,P3,3
18,159,P1,2
18,161,P1,1
3,163,P2,2
18,164,P1,1
297,167,P1,3
18,168,P1,1
102,169,P2,2
235,171,P2,2
202,172,P3,1
222,173,P3,1
222,174,P3,3
222,176,P3,2
167,177,P1,3
167,178,P1,2
245,179,P1,1
102,180,P2,3
245,181,P1,1
202,182,P3,2
3,186,P2,2
245,187,P1,3
102,189,P2,1
46,190,P2,1
231,192,P3,1
102,193,P2,3
235,194,P2,1
202,195,P3,2
235,196,P2,2
202,201,P3,1
155,202,P3,2
130,203,P1,3
167,204,P1,1
235,205,P2,3
303,211,P3,3
303,215,P3,1
130,217,P1,2
235,218,P2,3
245,219,P1,1
301,222,P3,2
154,226,P1,1
222,230,P3,1
222,231,P3,1
102,232,P2,2
202,233,P3,3
251,235,P2,1
74,237,P1,3
130,238,P1,3
245,239,P1,3
167,240,P1,1
235,241,P2,3
130,242,P1,1
222,243,P3,3
255,245,P1,2
245,248,P1,2
222,249,P3,2
235,251,P2,2
102,252,P2,2
235,253,P2,1
46,254,P2,3
21,255,P1,1
130,265,P1,2
167,275,P1,2
167,276,P1,3
130,280,P1,1
202,285,P3,3
167,286,P1,2
202,287,P3,1
202,295,P3,3
97,297,P1,2
91,301,P3,1
235,302,P2,2
192,303,P3,2
303,304,P3,3
245,305,P1,2
102,306,P2,1
102,307,P2,3
222,308,P3,3
154,309,P1,1
