"","Var1","Freq"
"1","",3
"2","__NA__",821
"3","Bernie Sanders",3
"4","BERNIE SANDERS",1
"5","Bernie Sanders (write-in)",1
"6","Bernie Sanders as write in",1
"7","Castle",1
"8","Chtulu",1
"9","Darrel Castle",1
"10","Darrell Castle (Constitution)",1
"11","edwim mcmullin",1
"12","Eric mccmillin",1
"13","Eric McMullen",1
"14","evan macmullin",1
"15","Evan McCullen",1
"16","evan mcmellon",1
"17","Evan Mcmillan",2
"18","Evan McMillan",1
"19","Evan McMillian",1
"20","Evan McMillin",2
"21","Evan McMullan",4
"22","Evan McMullen",5
"23","evan mcmullin",6
"24","Evan mcmullin",1
"25","Evan Mcmullin",2
"26","Evan McMullin",50
"27","Evan McMullin (Independent)",1
"28","Evan Sullivan",1
"29","Evqn McMullin",1
"30","I don't prefer any of them, but will vote for Trump",1
"31","John Kasich",1
"32","kasich",1
"33","Mcmullen",1
"34","McMullin",5
"35","Michelle Obama",1
"36","Mickey Mouse",1
"37","Mitt Romney",6
"38","no one running right now",1
"39","Ran Paul",1
"40","Romney",1
"41","Ted Cruz",6
"42","Ted Cruz or Evan McMullin",1
"43","unsure, definitely not Clinton, or Trump",1
"44","Willie Nelson",1
"45","Write in",1
"46","Write in Bernie Sanders",1
"47","write in vote",1
"48","your mom",1
