"","estimate","std_error","t_value","p_value","term"
"1",-2.78004038723714,1.88320634666042,-1.4762271761494,0.139935124153723,"(Intercept)"
"2",0.0754913856390746,0.014964611058825,5.04466072270922,4.67622515136227e-07,"treated"
"3",0.207893067909811,0.0239360434412263,8.68535639234955,4.80023674957293e-18,"age"
"4",0.0254968407793656,0.0199786711173245,1.27620303821189,0.201932898305296,"educ"
"5",0.065707706608065,0.0199177947968116,3.29894485199654,0.000976117358726992,"income"
"6",1.52748502818114,1.39420247763764,1.09559770024891,0.273298616992141,"attend"
"7",0.000970233040801271,0.0106894296057953,0.0907656513566688,0.927681817840302,"male"
"8",0.357201991827233,0.284352638630927,1.25619369507895,0.209094409821675,"imp"
"9",1.44514291881041,1.40542361466432,1.02826144639357,0.303868097923623,"pray"
"10",0.915785131855157,0.0195935195859833,46.7391847511809,0,"pid"
